predictor,  word,  occPerM
consists,  of,  6
contact,  me,  30
contact,  us,  24
contact,  with,  12
content,  is,  7
content,  to,  5
content,  with,  5
contest,  for,  5
continue,  to,  42
continues,  to,  15
continuing,  to,  6
contribute,  to,  6
control,  of,  11
control,  the,  5
convention,  center,  10
conversation,  with,  16
conversation,  about,  6
conversations,  with,  5
convinced,  that,  7
convo,  with,  5
cook,  for,  5
cookies,  and,  8
cookies,  for,  5
cooking,  up,  5
cool,  i,  34
cool,  to,  23
cool,  and,  19
cooler,  than,  8
copies,  of,  10
copy,  of,  41
corner,  of,  14
cost,  of,  12
cost,  to,  6
could,  be,  175
could,  have,  84
could,  get,  39
couldn't,  be,  18
couldn't,  get,  16
couldn't,  agree,  16
could've,  been,  6
count,  on,  13
count,  me,  9
count,  as,  7
countdown,  to,  9
counting,  down,  12
counting,  the,  5
country,  music,  17
country,  is,  6
country,  and,  6
couple,  of,  75
couple,  weeks,  15
couple,  days,  13
coupon,  code,  7
courage,  to,  12
courage,  is,  6
course,  i,  28
course,  you,  13
course,  the,  10
courtesy,  of,  13
cover,  of,  21
cover,  the,  8
cover,  up,  5
coverage,  of,  9
covered,  in,  11
covering,  the,  6
crack,  me,  7
cracking,  me,  5
cracking,  up,  5
cracks,  me,  8
craft,  beer,  7
crap,  i,  10
crap,  out,  7
craving,  a,  6
craving,  for,  6
crazy,  but,  17
crazy,  how,  13
crazy,  i,  11
cream,  and,  7
cream,  cheese,  6
create,  a,  30
create,  the,  7
create,  an,  6
created,  a,  11
created,  by,  7
creating,  a,  14
creative,  and,  5
creativity,  is,  5
creator,  of,  5
credit,  card,  13
credit,  for,  12
credit,  cards,  6
cried,  when,  7
criminal,  minds,  6
cross,  the,  10
crossed,  for,  7
crossing,  my,  5
crowd,  at,  6
crush,  on,  19
cry,  for,  5
cry,  and,  5
cry,  i,  5
cuddle,  with,  5
culture,  of,  6
cup,  of,  37
cups,  of,  8
cure,  for,  9
curious,  to,  10
curious,  about,  8
currently,  in,  7
customer,  service,  31
cut,  it,  13
cut,  my,  11
cut,  off,  11
cute,  and,  13
cute,  i,  11
cute,  but,  7
cuz,  i,  53
cuz,  i'm,  11
cuz,  you,  9
d,  i,  24
d,  and,  14
d,  rt,  8
da,  best,  7
dad,  is,  17
dad,  and,  10
dad,  just,  7
daily,  news,  5
damn,  i,  41
damn,  it,  20
damn,  you,  20
dance,  with,  12
dance,  party,  10
dance,  floor,  8
dancing,  with,  14
dancing,  in,  7
dancing,  to,  6
dang,  i,  8
dang,  it,  6
dare,  you,  14
dare,  to,  7
dark,  chocolate,  9
dark,  side,  8
dark,  and,  6
data,  is,  7
data,  to,  5
data,  and,  5
date,  with,  17
date,  night,  10
date,  for,  9
daughter,  is,  9
daughter,  and,  6
daughter,  to,  5
davis,  is,  5
day,  of,  221
day,  to,  185
day,  in,  127
days,  of,  54
days,  until,  38
days,  i,  26
dc,  for,  9
dc,  is,  6
dc,  and,  6
de,  mayo,  52
de,  la,  7
dead,  and,  7
dead,  in,  6
dead,  at,  5
deadline,  is,  6
deadline,  for,  5
deal,  with,  56
deal,  for,  8
deal,  of,  6
dealing,  with,  21
deals,  on,  8
dear,  god,  10
dear,  friend,  7
dear,  i,  6
death,  of,  24
death,  and,  6
death,  is,  6
debit,  card,  5
decide,  to,  17
decide,  if,  10
decide,  what,  6
decided,  to,  54
decided,  that,  8
decides,  to,  10
decision,  to,  12
decisions,  decisions,  6
dedicated,  to,  14
deep,  in,  9
deep,  breath,  5
deep,  down,  5
def,  a,  5
defense,  is,  6
definitely,  not,  19
definitely,  a,  19
definitely,  be,  15
definition,  of,  21
degree,  weather,  7
degrees,  in,  11
degrees,  and,  6
degrees,  outside,  5
delete,  it,  6
delicious,  and,  5
delivered,  to,  6
department,  of,  5
depend,  on,  10
depending,  on,  14
depends,  on,  38
dept,  of,  5
derrick,  rose,  8
describe,  how,  5
deserve,  it,  23
deserve,  to,  17
deserve,  a,  9
deserved,  it,  6
deserves,  a,  12
deserves,  to,  7
deserves,  it,  7
design,  and,  9
design,  is,  7
design,  for,  7
designed,  to,  7
desire,  to,  13
despite,  the,  11
details,  on,  11
details,  to,  10
details,  coming,  7
determined,  to,  9
develop,  a,  7
dick,  in,  5
did,  you,  462
did,  i,  134
did,  it,  84
didnt,  know,  12
didnt,  even,  10
didnt,  get,  9
didn't,  know,  81
didn't,  get,  60
didn't,  have,  48
die,  in,  8
die,  for,  8
die,  i,  6
died,  in,  9
died,  at,  5
died,  of,  5
diet,  and,  5
difference,  between,  42
difference,  in,  12
difference,  is,  5
different,  than,  10
different,  from,  10
different,  things,  6
difficult,  to,  18
dig,  it,  11
dig,  the,  7
digging,  the,  6
digital,  media,  7
dinner,  with,  30
dinner,  at,  21
dinner,  tonight,  18
direct,  message,  17
direct,  messages,  5
directed,  by,  6
direction,  of,  5
directly,  to,  6
director,  of,  12
disagree,  with,  7
disappointed,  in,  8
disappointed,  that,  5
discount,  on,  5
discover,  the,  5
discovered,  that,  6
discovered,  the,  5
discuss,  the,  7
discussing,  the,  6
discussion,  on,  9
discussion,  of,  7
discussion,  about,  6
disney,  world,  6
distracted,  by,  6
ditto,  rt,  6
dm,  me,  77
dm,  you,  27
dm,  us,  20
do,  you,  882
do,  it,  354
do,  i,  219
doctor,  who,  6
documentary,  on,  6
does,  not,  95
does,  it,  86
does,  that,  72
doesnt,  mean,  8
doesnt,  have,  5
doesn't,  mean,  42
doesn't,  have,  38
doesn't,  make,  25
dog,  is,  14
dog,  and,  9
dog,  to,  5
dogs,  are,  7
dogs,  and,  6
doin,  it,  6
doing,  a,  64
doing,  it,  58
doing,  the,  57
dollars,  to,  5
donate,  to,  9
donated,  to,  6
donation,  to,  5
done,  with,  82
done,  and,  25
done,  for,  21
donna,  summer,  10
dont,  know,  63
dont,  have,  43
dont,  want,  33
don't,  know,  340
don't,  have,  225
don't,  want,  161
door,  to,  10
door,  for,  8
door,  and,  6
doors,  open,  12
doors,  are,  5
doors,  at,  5
dose,  of,  10
doubt,  it,  10
doubt,  that,  9
down,  to,  119
down,  the,  102
down,  and,  54
download,  the,  8
download,  it,  6
downloaded,  the,  5
draft,  of,  6
dragon,  tattoo,  5
draw,  something,  15
draw,  a,  5
dream,  of,  17
dream,  come,  13
dream,  about,  11
dreaming,  of,  8
dreaming,  about,  5
dreams,  come,  14
dreams,  are,  10
dreams,  and,  9
dress,  up,  9
dress,  and,  6
dress,  for,  6
dressed,  up,  8
dressed,  in,  5
dressed,  as,  5
dressing,  up,  5
drink,  and,  14
drink,  specials,  11
drink,  a,  11
drinking,  a,  12
drinking,  coffee,  6
drinking,  and,  5
drinks,  and,  12
drinks,  with,  5
drive,  to,  17
drive,  in,  8
drive,  a,  7
drives,  me,  7
driving,  to,  13
driving,  me,  10
driving,  in,  8
drop,  the,  9
drop,  by,  8
drop,  it,  7
dropped,  my,  6
dropped,  a,  6
dropped,  off,  6
drunk,  and,  10
drunk,  on,  6
dude,  i,  29
dude,  you,  14
dude,  is,  14
due,  to,  84
due,  tomorrow,  5
dumb,  and,  5
dunk,  contest,  5
during,  the,  95
during,  a,  17
during,  my,  11
dying,  to,  14
dying,  for,  5
each,  other,  106
each,  day,  24
each,  of,  12
eager,  to,  7
earlier,  today,  12
earlier,  this,  8
early,  to,  32
early,  for,  22
early,  morning,  18
earned,  the,  6
earth,  day,  21
earth,  is,  7
earthquake,  in,  5
easier,  to,  30
easier,  than,  6
easier,  for,  6
east,  coast,  25
east,  side,  8
east,  of,  5
easter,  to,  10
easter,  everyone,  7
easter,  weekend,  7
easy,  to,  49
easy,  for,  8
easy,  but,  7
eat,  a,  22
eat,  it,  17
eat,  the,  14
eating,  a,  19
eating,  at,  6
eating,  the,  6
edge,  of,  11
edition,  of,  7
education,  is,  12
education,  and,  7
effect,  of,  5
effects,  of,  7
effort,  to,  10
efforts,  to,  6
eggs,  and,  7
either,  way,  29
either,  of,  9
either,  i,  9
election,  day,  5
elementary,  school,  9
else,  is,  41
else,  to,  18
else,  in,  11
em,  up,  9
em,  out,  9
em,  all,  8
email,  me,  45
email,  address,  22
email,  to,  22
emailed,  you,  7
emails,  from,  6
embrace,  the,  5
end,  of,  178
end,  up,  70
end,  the,  21
ended,  up,  24
ends,  up,  8
ends,  with,  6
ends,  in,  5
energy,  and,  9
energy,  to,  8
energy,  drink,  5
engage,  in,  5
english,  class,  5
enjoy,  the,  86
enjoy,  your,  63
enjoy,  it,  35
enjoyed,  the,  32
enjoyed,  it,  30
enjoyed,  your,  20
enjoying,  the,  41
enjoying,  a,  19
enjoying,  my,  11
enough,  to,  104
enough,  for,  30
enough,  of,  18
enter,  to,  10
enter,  the,  10
entered,  to,  6
entering,  the,  5
entire,  life,  6
entire,  day,  5
entire,  world,  5
entitled,  to,  6
epic,  fail,  5
episode,  of,  50
episode,  is,  6
episodes,  of,  11
equivalent,  of,  6
especially,  when,  20
especially,  if,  13
especially,  the,  12
essential,  to,  5
et,  al,  8
even,  if,  85
even,  though,  79
even,  know,  64
evening,  with,  8
evening,  and,  6
evening,  of,  5
event,  in,  16
event,  at,  15
event,  on,  12
events,  in,  9
events,  and,  6
ever,  seen,  43
ever,  been,  30
ever,  had,  24
every,  time,  122
every,  day,  93
every,  single,  35
everybody,  is,  11
everybody,  else,  9
everybody,  has,  6
everyday,  i,  9
everyday,  is,  7
everyday,  and,  6
everyone,  is,  71
everyone,  who,  64
everyone,  else,  43
everything,  is,  54
everything,  you,  32
everything,  i,  31
everytime,  i,  24
everywhere,  i,  6
evidence,  of,  5
exact,  same,  12
exactly,  what,  32
exactly,  the,  11
exactly,  how,  9
example,  of,  18
examples,  of,  8
except,  for,  25
except,  the,  8
except,  that,  5
excited,  to,  214
excited,  for,  145
excited,  about,  85
exciting,  news,  8
exciting,  things,  6
exciting,  to,  6
excuse,  me,  20
excuse,  to,  17
excuse,  for,  8
exist,  in,  5
expect,  to,  17
expect,  a,  11
expect,  the,  7
expected,  to,  13
expecting,  a,  5
experience,  is,  10
experience,  with,  10
experience,  and,  9
explain,  to,  10
explain,  why,  7
explain,  the,  6
eye,  out,  15
eye,  on,  13
eye,  contact,  8
eyes,  and,  15
eyes,  are,  13
eyes,  open,  9
fabulous,  day,  5
face,  of,  13
